Date,TotalPrice
2009-12-31,796648.5
2010-01-31,622479.502
2010-02-28,531265.366
2010-03-31,763247.241
2010-04-30,587926.692
2010-05-31,613270.72
2010-06-30,677073.87
2010-07-31,573333.6900000001
2010-08-31,654774.39
2010-09-30,851105.961
2010-10-31,1041685.61
2010-11-30,1416697.202
2010-12-31,746723.61
2011-01-31,558448.56
2011-02-28,497026.41000000003
2011-03-31,682013.98
2011-04-30,492367.841
2011-05-31,722094.1
2011-06-30,689977.23
2011-07-31,680156.991
2011-08-31,681386.4600000001
2011-09-30,1017596.682
2011-10-31,1069368.23
2011-11-30,1456145.8
2011-12-31,432701.06
